HYBAS_ID,pixel_id,clase_de_cobertura,pct_2004,pct_2023,
,6,1.4. Bosque inundable,3.086801711,3.062002976,Disminución
,13,2.4. Otra formación natural no forestal,5.855632218,2.655159343,Disminución
,11,2.1. Formación natural no forestal inundable,1.412107303,1.946303095,Incremento
,29,2.3. Afloramiento rocoso,1.545165025,1.343710044,Disminución
,33,"5.1 Río, lago u océano",1.247757778,1.060014676,Disminución
,9,3.3 Silvicultura,0.446543227,0.856316847,Incremento
,68,4.4. Otra Área natural sin vegetación,0,0.184033328,Incremento
,24,4.2. Infraestructura urbana,0,0.12356518,Incremento
,34,5.2 Glaciar,0.118276533,0.088690993,Disminución
,23,"4.1. Playa, duna o banco de arena",0,0.038711351,Incremento
,30,4.3. Minería,9.26E-05,0.026431653,Incremento
,27,6. No observado,2.70E-05,0,Disminución
6060331400,3,1.1. Bosque,92.41999468,92.81177295,Incremento
,21,3.5 Mosaico de agricultura y/o pastos,5.867756962,5.555849517,Disminución
,33,"5.1 Río, lago u océano",0.823278241,0.7301865,Disminución
,6,1.4. Bosque inundable,0.40492549,0.373840867,Disminución
,13,2.4. Otra formación natural no forestal,0.327073911,0.22223516,Disminución
,24,4.2. Infraestructura urbana,0,0.164797143,Incremento
,25,4.5. Otra Área antrópica sin vegetación,0.144604666,0.099739045,Disminución
,68,4.4. Otra Área natural sin vegetación,0,0.030391889,Incremento
,23,"4.1. Playa, duna o banco de arena",0,0.006544131,Incremento
,11,2.1. Formación natural no forestal inundable,0.01236605,0.004642796,Disminución
6060316520,3,1.1. Bosque,62.79842692,58.54272548,Disminución
,21,3.5 Mosaico de agricultura y/o pastos,23.54225003,27.26522595,Incremento
,13,2.4. Otra formación natural no forestal,5.991544175,6.855803907,Incremento
,0,Desconocido 0,3.258004862,3.262177425,Incremento
,29,2.3. Afloramiento rocoso,1.323099675,1.227187508,Disminución
,25,4.5. Otra Área antrópica sin vegetación,0.864288117,1.013251434,Incremento
,12,2.2. Herbazal,1.457615139,0.934143056,Disminución
,33,"5.1 Río, lago u océano",0.710499388,0.565793787,Disminución
,68,4.4. Otra Área natural sin vegetación,0,0.23374865,Incremento
,24,4.2. Infraestructura urbana,0,0.058501028,Incremento
,30,4.3. Minería,0,0.038177527,Incremento
,4,1.2. Bosque abierto,0,0.00326425,Incremento
,11,2.1. Formación natural no forestal inundable,0.004172562,0,Disminución
,27,6. No observado,0.050099134,0,Disminución
6060316360,3,1.1. Bosque,64.34979526,65.17950167,Incremento
,21,3.5 Mosaico de agricultura y/o pastos,19.81399379,20.25086122,Incremento
,12,2.2. Herbazal,7.784530522,7.424766285,Disminución
,13,2.4. Otra formación natural no forestal,4.374708646,3.449969836,Disminución
,29,2.3. Afloramiento rocoso,1.28027866,0.79193308,Disminución
,33,"5.1 Río, lago u océano",0.81694637,0.746340838,Disminución
,9,3.3 Silvicultura,0.533315205,0.710210932,Incremento
,25,4.5. Otra Área antrópica sin vegetación,0.713063388,0.563725719,Disminución
,11,2.1. Formación natural no forestal inundable,0.30274407,0.338088465,Incremento
,30,4.3. Minería,0.018106582,0.222980271,Incremento
,24,4.2. Infraestructura urbana,0,0.119585971,Incremento
,4,1.2. Bosque abierto,0,0.11520955,Incremento
,68,4.4. Otra Área natural sin vegetación,0,0.062645442,Incremento
,23,"4.1. Playa, duna o banco de arena",0,0.013458671,Incremento
,0,Desconocido 0,0.008484971,0.008618907,Incremento
,6,1.4. Bosque inundable,0.001183697,0.002103144,Incremento
,27,6. No observado,0.001487766,0,Disminución
,34,5.2 Glaciar,0.001361071,0,Disminución
